ID,tournament,year,winner,winner_seed,winner_nationality,runner_up,runner_up_seed,runner_up_nationality,score
172,A,1987,Stefan Edberg,4,SWE,Pat Cash,11,AUS,"6-3, 6-4, 3-6, 5-7, 6-3"
173,A,1988,Mats Wilander,3,SWE,Pat Cash,4,AUS,"6-3, 6-7(3-7), 3-6, 6-1, 8-6"
174,A,1989,Ivan Lendl,2,TCH,Miloslav Mecir,9,TCH,"6-2, 6-2, 6-2"
175,A,1990,Ivan Lendl,1,TCH,Stefan Edberg,3,SWE,"4-6, 7-6(7-3), 5-2 retired"
176,A,1991,Boris Becker,2,GER,Ivan Lendl,3,TCH,"1-6, 6-4, 6-4, 6-4"
177,A,1992,Jim Courier,2,USA,Stefan Edberg,1,SWE,"6-3, 3-6, 6-4, 6-2"
178,A,1993,Jim Courier,1,USA,Stefan Edberg,2,SWE,"6-2, 6-1, 2-6, 7-5"
179,A,1994,Pete Sampras,1,USA,Todd Martin,9,USA,"7-6(7-4), 6-4, 6-4"
180,A,1995,Andre Agassi,2,USA,Pete Sampras,1,USA,"4-6, 6-1, 7-6(8-6), 6-4"
181,A,1996,Boris Becker,4,GER,Michael Chang,5,USA,"6-2, 6-4, 2-6, 6-2"
182,A,1997,Pete Sampras,1,USA,Carlos Moya,99,ESP,"6-2, 6-3, 6-3"
183,A,1998,Petr Korda,6,CZE,Marcelo Rios,9,CHI,"6-2, 6-2, 6-2"
184,A,1999,Yevgeny Kafelnikov,10,RUS,Thomas Enqvist,99,SWE,"4-6, 6-0, 6-3, 7-6(7-1)"
185,A,2000,Andre Agassi,1,USA,Yevgeny Kafelnikov,2,RUS,"3-6, 6-3, 6-2, 6-4"
186,A,2001,Andre Agassi,6,USA,Arnaud Clément,15,FRA,"6-4, 6-2, 6-2"
187,A,2002,Thomas Johansson,16,SWE,Marat Safin,9,RUS,"3-6, 6-4, 6-4, 7-6(7-4)"
188,A,2003,Andre Agassi,2,USA,Rainer Schüttler,99,GER,"6-2, 6-2, 6-1"
189,A,2004,Roger Federer,2,SUI,Marat Safin,99,RUS,"7-6(7-3), 6-4, 6-2"
190,A,2005,Marat Safin,4,RUS,Lleyton Hewitt,3,AUS,"1-6, 6-3, 6-4, 6-4"
191,A,2006,Roger Federer,1,SUI,Marcos Baghdatis,99,CYP,"5-7, 7-5, 6-0, 6-2"
192,A,2007,Roger Federer,1,SUI,Fernando Gonzalez,10,CHI,"7-6(7-2), 6-4, 6-4"
193,A,2008,Novak Djokovic,3,SRB,Jo-Wilfried Tsonga,99,FRA,"4-6, 6-4, 6-3, 7-6(7-2)"
194,A,2009,Rafael Nadal,1,ESP,Roger Federer,2,SUI,"7-5, 3-6, 7-6(7-3), 3-6, 6-2"
195,A,2010,Roger Federer,1,SUI,Andy Murray,5,GBR,"6-3, 6-4, 7-6(13-11)"
196,A,2011,Novak Djokovic,3,SRB,Andy Murray,5,GBR,"6-4, 6-2, 6-3"
197,A,2012,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"5-7, 6-4, 6-2, 6-7(5-7), 7-5"
198,A,2013,Novak Djokovic,1,SRB,Andy Murray,3,GBR,"6-7(2-7), 7-6(7-3), 6-3, 6-2"
199,A,2014,Stan Wawrinka,8,SUI,Rafael Nadal,1,ESP,"6-3, 6-2, 3-6, 6-3"
200,A,2015,Novak Djokovic,1,SRB,Andy Murray,6,GBR,"7-6(7-5), 6-7(4-7), 6-3, 6-0"
201,A,2016,Novak Djokovic,1,SRB,Andy Murray,2,GBR,"6-1, 7-5, 7-6(7-3)"
202,A,2017,Roger Federer,99,SUI,Rafael Nadal,9,ESP,"6-4, 3-6, 6-1, 3-6, 6-3"
203,A,2018,Roger Federer,2,SUI,Marin Cilic,6,CRO,"6-2, 6-7(7-5), 6-3, 3-6, 6-1"
